CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15565701,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0
15565706,612,Spain,Male,35,1,0,1,1,1,83256.26,1
15565779,627,Germany,Female,30,6,57809.32,1,1,0,188258.49,0
15565796,745,Germany,Male,48,10,96048.55,1,1,0,74510.65,0
15565806,532,France,Male,38,9,0,2,0,0,30583.95,0
15566030,497,Germany,Male,41,5,80542.81,1,0,0,88729.22,1
15566091,545,Spain,Female,32,4,0,1,1,0,94739.2,0
15566111,596,France,Male,39,9,0,1,1,0,48963.59,0
15566156,749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0
15566211,616,Germany,Female,41,1,103560.57,1,1,0,236.45,1
15566251,618,France,Female,37,5,96652.86,1,1,0,98686.4,1
15566253,580,Germany,Male,44,9,143391.07,1,0,0,146891.07,1
15566292,574,Spain,Male,36,1,0,2,0,1,71709.12,0
15566295,761,France,Female,33,6,138053.79,2,1,0,148779.41,0
15566312,660,Spain,Female,42,5,0,3,1,1,189016.24,1
15566378,515,France,Male,48,5,129387.94,1,0,1,147955.91,1
15566467,683,Germany,Female,32,0,138171.1,2,1,1,188203.58,0
15566494,487,France,Male,45,2,0,2,1,0,77475.73,0
15566495,704,Spain,Female,24,2,0,1,1,0,35600.25,1
15566531,724,Germany,Male,33,4,88046.88,1,0,1,186942.49,1
15566563,777,France,Female,30,4,137851.31,1,1,0,5008.23,1
15566594,709,Spain,Male,23,10,0,2,0,0,129590.18,0
15566633,698,Germany,Male,55,8,155059.1,2,1,1,144584.29,0
15566660,670,France,Female,41,10,0,3,1,0,81602.02,0
15566689,554,Spain,Male,66,8,0,2,1,1,116747.62,0
15566708,444,France,Female,45,4,0,2,1,0,161653.5,1
15566843,535,Germany,Male,20,9,134874.4,1,1,1,118825.56,0
15566958,667,Spain,Male,39,7,167557.12,1,1,1,41183.02,0
15566988,656,Germany,Female,46,7,141535.52,1,1,0,50595.15,1
15567063,766,Germany,Female,34,6,106434.94,1,0,1,137995.66,1
15567078,789,France,Female,27,8,66201.96,1,1,1,79458.12,0
15567114,430,France,Male,35,1,118894.22,1,0,0,2923.61,0
15567328,738,Spain,Male,38,5,177997.07,1,0,1,19233.41,0
15567333,712,France,Female,31,7,0,2,1,0,170333.38,0
15567335,559,France,Female,42,7,0,2,1,1,190040.29,0
15567367,601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
15567399,633,Germany,Male,43,3,144164.29,1,1,1,158646.46,0
15567422,630,France,Male,42,6,0,2,1,0,162697.93,0
15567446,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
15567486,634,Spain,Female,41,4,0,2,1,1,164549.74,0
15567506,738,Germany,Female,40,6,114940.67,2,1,1,194895.57,1
15567557,573,France,Male,27,2,128243.03,1,1,1,11631.34,0
15567630,721,Germany,Male,40,6,100275.88,1,1,0,138564.48,1
15567778,690,Germany,Female,54,1,144027.8,1,1,1,108731.02,1
15567802,450,Spain,Female,34,2,0,2,1,0,175480.93,0
15567832,550,France,Female,40,7,114354.95,1,1,0,54018.93,0
15567860,581,Spain,Female,44,7,189318.16,2,1,0,45026.23,1
15567980,537,Germany,Female,46,5,100727.5,1,0,1,140857.76,1
15567993,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0
15568006,634,France,Female,45,2,0,4,1,0,101039.53,1
15568025,758,France,Male,51,8,81710.46,1,1,1,116520.07,0
15568044,508,France,Female,31,7,0,2,1,1,6123.15,0
15568046,809,France,Male,24,7,109558.36,1,1,0,183515.13,0
15568106,592,France,Female,38,8,119278.01,2,0,1,19370.73,0
15568120,681,France,Female,37,7,69609.85,1,1,1,72127.83,0
15568240,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0
15568328,488,France,Female,22,6,0,2,1,1,66393.89,0
15568360,569,Spain,Female,41,4,139840.36,1,1,1,163524.7,0
15568429,633,Spain,Female,46,3,0,2,1,0,120250.58,0
15568506,524,Germany,Female,31,10,67238.98,2,1,1,161811.23,0
15568573,554,Germany,Female,51,7,105701.91,1,0,1,179797.79,1
15568595,544,France,Male,64,9,113829.45,1,1,1,124341.49,0
15568748,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
15568819,619,Germany,Female,42,8,132796.04,3,1,1,191821.35,1
15568915,681,France,Male,38,6,153722.47,1,1,0,101319.76,0
15568953,477,France,Male,27,1,128554.98,1,1,1,133173.19,0
15568963,674,Germany,Male,34,2,152797.9,1,1,0,175709.4,1
15568982,726,France,Female,24,6,0,2,1,1,54724.03,0
15569050,444,France,Male,45,6,0,1,1,0,130009.85,1
15569079,632,Germany,Male,48,6,126066.26,1,1,0,64345.61,1
15569098,627,France,Male,44,6,153548.12,1,0,0,35300.08,1
15569178,570,France,Female,18,4,82767.42,1,1,0,71811.9,0
15569187,680,Spain,Male,35,9,0,2,0,0,143774.06,0
15569209,464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0
15569222,781,France,Male,32,6,147107.91,1,1,1,40066.95,0
15569247,727,Spain,Female,57,1,109679.72,1,0,1,753.37,0
15569248,554,France,Female,43,10,0,2,1,0,149629.13,1
15569249,576,France,Female,55,6,44582.07,3,0,1,67539.85,1
15569274,678,Germany,Male,49,2,116933.11,1,1,0,195053.58,1
15569364,666,France,Male,36,3,0,2,1,0,35156.54,0
15569410,601,Germany,Female,33,7,114430.18,2,1,1,153012.13,0
15569423,731,Spain,Male,41,4,0,2,1,0,22299.27,0
15569432,656,France,Female,48,9,0,2,1,1,85240.61,1
15569438,607,Germany,Male,36,10,106702.94,2,0,0,198313.69,0
15569446,732,France,Female,34,8,122338.43,2,1,0,187985.85,0
15569451,463,France,Male,35,2,101257.16,1,1,1,118113.64,0
15569503,765,France,Male,44,6,0,2,1,1,159899.97,0
15569571,584,Germany,Female,46,6,87361.02,2,1,0,120376.87,1
15569572,778,France,Male,42,6,0,2,1,1,106197.44,0
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15569641,692,Germany,Female,41,8,130701.29,1,1,0,59354.24,1
15569666,517,France,Female,45,4,0,1,0,0,172674.36,1
15569678,561,Germany,Male,32,6,166824.59,1,1,0,139451.98,0
15569682,768,Germany,Male,37,9,108308.11,1,1,0,41788.25,1
15569807,673,France,Female,34,8,42157.08,1,1,0,20598.59,1
15569917,706,Spain,Male,30,6,87609.68,2,0,0,137674.55,1
15569976,754,Germany,Male,65,1,136186.44,1,1,1,121529.59,1
15570002,625,Germany,Female,55,8,118772.71,4,0,0,135853.62,1
15570004,850,France,Male,31,3,0,2,1,0,121866.87,0
15570051,775,Germany,Female,38,6,179886.41,2,0,0,153122.58,0
15570060,586,France,Female,43,8,132558.26,1,1,0,67046.83,1
15570087,664,France,Female,44,8,142989.69,1,1,1,115452.51,1
15570134,683,France,Female,35,6,187530.66,2,1,1,37976.36,0
